Count,Message,Traceback,Nodes
54,Expecting value: line 1 column 1 (char 0),"  File ""/home/cc/.local/lib/python3.6/site-packages/locust/user/task.py"", line 290, in run
    self.execute_next_task()
  File ""/home/cc/.local/lib/python3.6/site-packages/locust/user/task.py"", line 315, in execute_next_task
    self.execute_task(self._task_queue.pop(0))
  File ""/home/cc/.local/lib/python3.6/site-packages/locust/user/task.py"", line 428, in execute_task
    task(self.user)
  File ""/home/cc/microservices/application/robot-shop/load-gen/robot-shop.py"", line 77, in load
    code = choice(self.client.get('/api/shipping/codes', headers={'x-forwarded-for': fake_ip}).json())
  File ""/usr/lib/python3/dist-packages/requests/models.py"", line 808, in json
    return complexjson.loads(self.text, **kwargs)
  File ""/usr/lib/python3.6/json/__init__.py"", line 354, in loads
    return _default_decoder.decode(s)
  File ""/usr/lib/python3.6/json/decoder.py"", line 339, in decode
    obj, end = self.raw_decode(s, idx=_w(s, 0).end())
  File ""/usr/lib/python3.6/json/decoder.py"", line 357, in raw_decode
    raise JSONDecodeError(""Expecting value"", s, err.value) from None
",local
2,Expecting value: line 1 column 1 (char 0),"  File ""/home/cc/.local/lib/python3.6/site-packages/locust/user/task.py"", line 290, in run
    self.execute_next_task()
  File ""/home/cc/.local/lib/python3.6/site-packages/locust/user/task.py"", line 315, in execute_next_task
    self.execute_task(self._task_queue.pop(0))
  File ""/home/cc/.local/lib/python3.6/site-packages/locust/user/task.py"", line 428, in execute_task
    task(self.user)
  File ""/home/cc/microservices/application/robot-shop/load-gen/robot-shop.py"", line 78, in load
    city = choice(self.client.get('/api/shipping/cities/{}'.format(code['code']), headers={'x-forwarded-for': fake_ip}).json())
  File ""/usr/lib/python3/dist-packages/requests/models.py"", line 808, in json
    return complexjson.loads(self.text, **kwargs)
  File ""/usr/lib/python3.6/json/__init__.py"", line 354, in loads
    return _default_decoder.decode(s)
  File ""/usr/lib/python3.6/json/decoder.py"", line 339, in decode
    obj, end = self.raw_decode(s, idx=_w(s, 0).end())
  File ""/usr/lib/python3.6/json/decoder.py"", line 357, in raw_decode
    raise JSONDecodeError(""Expecting value"", s, err.value) from None
",local
